# 601 snapshots
# linear spacing in scale-factor
# times assume cosmology from agora:
# Omega_m = 0.272, Omega_l = 0.728, Omega_b = 0.0455, 
# h = 0.702, sigma_8 = 0.807, n_s = 0.961
# i scale-factor redshift time[Gyr] lookback-time[Gyr] time-width[Myr]
  0 0.010000000 99.000000000  0.017804979 13.780941904   0.0000
  1 0.050000001 19.000000000  0.199051088 13.599695795 181.2461
  2 0.062500000 15.000000000  0.278167569 13.520579315  79.1165
  3 0.064078301 14.605906487  0.288768143 13.509978740  10.6006
  4 0.065656602 14.230760574  0.299499806 13.499247077  10.7317
  5 0.067234799 13.873250008  0.310360226 13.488386657  10.8604
  6 0.068813100 13.532116890  0.321349285 13.477397599  10.9891
  7 0.070391402 13.206280708  0.332464767 13.466282117  11.1155
  8 0.071969703 12.894735336  0.343705220 13.455041664  11.2405
  9 0.073547997 12.596563339  0.355069184 13.443677700  11.3640
 10 0.075126298 12.310917854  0.366555404 13.432191479  11.4862
 11 0.076704502 12.037044525  0.378161792 13.420585092  11.6064
 12 0.078282803 11.774197578  0.389888490 13.408858394  11.7267
 13 0.079861097 11.521740913  0.401733490 13.397013393  11.8450
 14 0.081439398 11.279068947  0.413695697 13.385051186  11.9622
 15 0.083017699 11.045623779  0.425773880 13.372973003  12.0782
 16 0.084596001 10.820889473  0.437966897 13.360779987  12.1930
 17 0.086174197 10.604401588  0.450272819 13.348474065  12.3059
 18 0.087752499 10.395687103  0.462692190 13.336054694  12.4194
 19 0.089330800 10.194347382  0.475223145 13.323523739  12.5310
 20 0.090909101  9.999999046  0.487864655 13.310882228  12.6415
 21 0.092424199  9.819677353  0.500103006 13.298643877  12.2384
 22 0.093939401  9.645160675  0.512442297 13.286304587  12.3393
 23 0.095454499  9.476195335  0.524879981 13.273866902  12.4377
 24 0.096969701  9.312500000  0.537416943 13.261329941  12.5370
 25 0.098484799  9.153851509  0.550050645 13.248696239  12.6337
 26 0.100000001  9.000000000  0.562782034 13.235964849  12.7314
 27 0.101587303  8.843750000  0.576222228 13.222524655  13.4402
 28 0.103174597  8.692308426  0.589766886 13.208979998  13.5447
 29 0.104761899  8.545454979  0.603415278 13.195331605  13.6484
 30 0.106349200  8.402985573  0.617166505 13.181580379  13.7512
 31 0.107936502  8.264706612  0.631019744 13.167727140  13.8532
 32 0.109523803  8.130434990  0.644974190 13.153772693  13.9544
 33 0.111111097  8.000000954  0.659028989 13.139717894  14.0548
 34 0.112847202  7.861539841  0.674515506 13.124231377  15.4865
