# 601 snapshots
# linear spacing in scale-factor
# times assume cosmology from ELVIS:
# Omega_m = 0.266, Omega_l = 0.734, Omega_b = 0.0449,
# h = 0.71, sigma_8 = 0.801, n_s = 0.963
# i scale-factor redshift time[Gyr] lookback-time[Gyr] time-width[Myr]
  0 0.010000000 99.000000000  0.017801798 13.709378738   0.0000
  1 0.050000001 19.000000000  0.199015180 13.528165356 181.2134
  2 0.062500000 15.000000000  0.278116930 13.449063606  79.1018
  3 0.064078301 14.605906487  0.288715499 13.438465037  10.5986
  4 0.065656602 14.230760574  0.299445123 13.427735412  10.7296
  5 0.067234799 13.873250008  0.310303471 13.416877065  10.8583
  6 0.068813100 13.532116890  0.321290423 13.405890113  10.9870
  7 0.070391402 13.206280708  0.332403763 13.394776772  11.1133
  8 0.071969703 12.894735336  0.343642040 13.383538496  11.2383
  9 0.073547997 12.596563339  0.355003792 13.372176743  11.3618
 10 0.075126298 12.310917854  0.366487765 13.360692770  11.4840
 11 0.076704502 12.037044525  0.378091869 13.349088667  11.6041
 12 0.078282803 11.774197578  0.389816246 13.337364290  11.7244
 13 0.079861097 11.521740913  0.401658887 13.325521649  11.8426
 14 0.081439398 11.279068947  0.413618697 13.313561839  11.9598
 15 0.083017699 11.045623779  0.425694444 13.301486092  12.0757
 16 0.084596001 10.820889473  0.437884985 13.289295551  12.1905
 17 0.086174197 10.604401588  0.450188391 13.276992145  12.3034
 18 0.087752499 10.395687103  0.462605205 13.264575331  12.4168
 19 0.089330800 10.194347382  0.475133561 13.252046975  12.5284
 20 0.090909101 10.000000000  0.487772430 13.239408106  12.6389
 21 0.092424199  9.819677353  0.500008204 13.227172331  12.2358
 22 0.093939401  9.645160675  0.512344878 13.214835658  12.3367
 23 0.095454499  9.476195335  0.524779903 13.202400633  12.4350
 24 0.096969701  9.312500000  0.537314162 13.189866374  12.5343
 25 0.098484799  9.153851509  0.549945120 13.177235416  12.6310
 26 0.100000001  9.000000000  0.562673720 13.164506816  12.7286
 27 0.101587303  8.843750000  0.576110943 13.151069593  13.4372
 28 0.103174597  8.692308426  0.589652580 13.137527956  13.5416
 29 0.104761899  8.545454979  0.603297900 13.123882636  13.6453
 30 0.106349200  8.402985573  0.617046001 13.110134535  13.7481
 31 0.107936502  8.264706612  0.630896061 13.096284475  13.8501
 32 0.109523803  8.130434990  0.644847273 13.082333263  13.9512
 33 0.111111097  8.000000954  0.658898781 13.068281755  14.0515
 34 0.112847202  7.861539841  0.674381633 13.052798903  15.4829
 35 0.114583299  7.727275848  0.689982557 13.037197979  15.6009
 36 0.116319403  7.597018242  0.705700712 13.021479824  15.7182
 37 0.118055597  7.470584869  0.721535893 13.005644643  15.8352
 38 0.119791701  7.347824097  0.737485533 12.989695003  15.9496
 39 0.121527798  7.228569984  0.753549454 12.973631082  16.0639
 40 0.123263903  7.112674713  0.769726891 12.957453645  16.1774
 41 0.125000000  7.000000000  0.786016818 12.941163717  16.2899
 42 0.126623407  6.897434235  0.801350433 12.925830103  15.3336
 43 0.128246799  6.797465801  0.816780864 12.910399672  15.4304
 44 0.129870102  6.700001717  0.832306704 12.894873832  15.5258
 45 0.131493494  6.604938984  0.847928986 12.879251550  15.6223
 46 0.133116901  6.512194157  0.863646332 12.863534203  15.7173
 47 0.134740293  6.421684742  0.879457796 12.847722740  15.8115
 48 0.136363596  6.333335400  0.895361994 12.831818542  15.9042
 49 0.137987003  6.247059345  0.911360186 12.815820350  15.9982
 50 0.139610395  6.162790298  0.927450573 12.799729963  16.0904
 51 0.141233802  6.080458164  0.943632829 12.783547707  16.1823
 52 0.142857105  6.000001907  0.959905144 12.767275392  16.2723
 53 0.144444406  5.923078537  0.975904083 12.751276453  15.9989
 54 0.146031693  5.847828388  0.991988833 12.735191702  16.0848
 55 0.147618994  5.774196148  1.008159145 12.719021391  16.1703
 56 0.149206296  5.702129841  1.024414322 12.702766214  16.2552
 57 0.150793701  5.631576538  1.040754903 12.686425633  16.3406
 58 0.152381003  5.562497616  1.057178207 12.670002329  16.4233
 59 0.153968304  5.494843006  1.073684780 12.653495756  16.5066
 60 0.155555606  5.428569317  1.090274100 12.636906436  16.5893
 61 0.157142907  5.363634109  1.106945654 12.620234882  16.6716
 62 0.158730194  5.299998760  1.123698774 12.603481762  16.7531
 63 0.160317495  5.237622261  1.140533272 12.586647264  16.8345
 64 0.161904797  5.176469326  1.157448492 12.569732044  16.9152
 65 0.163492098  5.116503716  1.174443941 12.552736595  16.9954
 66 0.165079400  5.057691097  1.191519131 12.535661405  17.0752
 67 0.166666701  5.000000000  1.208673577 12.518506959  17.1544
 68 0.168254003  4.943395138  1.225906801 12.501273735  17.2332
 69 0.169841304  4.887849331  1.243218329 12.483962207  17.3115
 70 0.171428606  4.833332062  1.260607690 12.466572846  17.3894
 71 0.173015907  4.779815197  1.278074418 12.449106118  17.4667
 72 0.174603194  4.727272034  1.295617886 12.431562650  17.5435
 73 0.176190495  4.675674915  1.313237966 12.413942570  17.6201
 74 0.177777797  4.624999523  1.330934040 12.396246496  17.6961
 75 0.179365098  4.575220585  1.348705657 12.378474879  17.7716
 76 0.180952400  4.526315212  1.366552371 12.360628165  17.8467
 77 0.182539701  4.478260517  1.384473739 12.342706796  17.9214
 78 0.184127003  4.431034088  1.402469322 12.324711214  17.9956
 79 0.185714304  4.384614944  1.420538683 12.306641853  18.0694
 80 0.187301606  4.338982582  1.438681388 12.288499147  18.1427
 81 0.188888907  4.294116974  1.456897010 12.270283526  18.2156
 82 0.190476194  4.250000000  1.475184948 12.251995588  18.2879
 83 0.192063496  4.206611633  1.493545122 12.233635414  18.3602
 84 0.193650797  4.163934231  1.511976940 12.215203595  18.4318
