# 601 snapshots
# linear spacing in scale-factor
# times assume cosmology from planck2015:
# Omega_m = 0.31, Omega_l = 0.69, Omega_b = 0.048,
# h = 0.68, sigma_8 = 0.82, n_s = 0.97
# i scale-factor redshift time[Gyr] lookback-time[Gyr] time-width[Myr]
  0 0.010000000 99.000000000  0.017217628 13.718998395   0.0000
  1 0.050000001 19.000000000  0.192486572 13.543729451 175.2689
  2 0.062500000 15.000000000  0.268996271 13.467219751  76.5097
  3 0.064078301 14.605906487  0.279247738 13.456968285  10.2515
  4 0.065656602 14.230760574  0.289626021 13.446590001  10.3783
  5 0.067234799 13.873250008  0.300128870 13.436087152  10.5028
  6 0.068813100 13.532116890  0.310756174 13.425459849  10.6273
  7 0.070391402 13.206280708  0.321505793 13.414710230  10.7496
  8 0.071969703 12.894735336  0.332376327 13.403839696  10.8705
  9 0.073547997 12.596563339  0.343366368 13.392849654  10.9900
 10 0.075126298 12.310917854  0.354474707 13.381741315  11.1083
 11 0.076704502 12.037044525  0.365699327 13.370516696  11.2246
 12 0.078282803 11.774197578  0.377040371 13.359175651  11.3410
 13 0.079861097 11.521740913  0.388495902 13.347720120  11.4555
 14 0.081439398 11.279068947  0.400064864 13.336151158  11.5690
 15 0.083017699 11.045623779  0.411746072 13.324469951  11.6812
 16 0.084596001 10.820889473  0.423538426 13.312677597  11.7924
 17 0.086174197 10.604401588  0.435440065 13.300775957  11.9016
 18 0.087752499 10.395687103  0.447451521 13.288764501  12.0115
 19 0.089330800 10.194347382  0.459570996 13.276645026  12.1195
 20 0.090909101 10.000000000  0.471797500 13.264418523  12.2265
 21 0.092424199  9.819677353  0.483634181 13.252581841  11.8367
 22 0.093939401  9.645160675  0.495568593 13.240647429  11.9344
 23 0.095454499  9.476195335  0.507598278 13.228617744  12.0297
 24 0.096969701  9.312500000  0.519724097 13.216491925  12.1258
 25 0.098484799  9.153851509  0.531943601 13.204272421  12.2195
 26 0.100000001  9.000000000  0.544257711 13.191958311  12.3141
 27 0.101587303  8.843750000  0.557257530 13.178958492  12.9998
 28 0.103174597  8.692308426  0.570358535 13.165857488  13.1010
 29 0.104761899  8.545454979  0.583560026 13.152655996  13.2015
 30 0.106349200  8.402985573  0.596861140 13.139354882  13.3011
 31 0.107936502  8.264706612  0.610261089 13.125954933  13.3999
 32 0.109523803  8.130434990  0.623759101 13.112456921  13.4980
 33 0.111111097  8.000000954  0.637354358 13.098861665  13.5953
 34 0.112847202  7.861539841  0.652334727 13.083881296  14.9804
 35 0.114583299  7.727275848  0.667429601 13.068786422  15.0949
 36 0.116319403  7.597018242  0.682638178 13.053577844  15.2086
 37 0.118055597  7.470584869  0.697960275 13.038255747  15.3221
 38 0.119791701  7.347824097  0.713393417 13.022822605  15.4331
 39 0.121527798  7.228569984  0.728937448 13.007278575  15.5440
 40 0.123263903  7.112674713  0.744591639 12.991624383  15.6542
 41 0.125000000  7.000000000  0.760355012 12.975861011  15.7634
 42 0.126623407  6.897434235  0.775193292 12.961022731  14.8383
 43 0.128246799  6.797465801  0.790125569 12.946090454  14.9323
 44 0.129870102  6.700001717  0.805150493 12.931065530  15.0249
 45 0.131493494  6.604938984  0.820269074 12.915946948  15.1186
 46 0.133116901  6.512194157  0.835479993 12.900736029  15.2109
 47 0.134740293  6.421684742  0.850782345 12.885433677  15.3024
 48 0.136363596  6.333335400  0.866174804 12.870041218  15.3925
 49 0.137987003  6.247059345  0.881658602 12.854557421  15.4838
 50 0.139610395  6.162790298  0.897232011 12.838984012  15.5734
 51 0.141233802  6.080458164  0.912894728 12.823321294  15.6627
 52 0.142857105  6.000001907  0.928645016 12.807571006  15.7503
 53 0.144444406  5.923078537  0.944131098 12.792084924  15.4861
 54 0.146031693  5.847828388  0.959700648 12.776515375  15.5695
 55 0.147618994  5.774196148  0.975353435 12.760862587  15.6528
 56 0.149206296  5.702129841  0.991088801 12.745127221  15.7354
 57 0.150793701  5.631576538  1.006907279 12.729308743  15.8185
 58 0.152381003  5.562497616  1.022806289 12.713409733  15.8990
 59 0.153968304  5.494843006  1.038786373 12.697429650  15.9801
 60 0.155555606  5.428569317  1.054847040 12.681368983  16.0607
 61 0.157142907  5.363634109  1.070987807 12.665228216  16.1408
 62 0.158730194  5.299998760  1.087208042 12.649007980  16.2202
 63 0.160317495  5.237622261  1.103507579 12.632708443  16.2995
 64 0.161904797  5.176469326  1.119885796 12.616330226  16.3782
 65 0.163492098  5.116503716  1.136342232 12.599873790  16.4564
 66 0.165079400  5.057691097  1.152876429 12.583339593  16.5342
 67 0.166666701  5.000000000  1.169487934 12.566728088  16.6115
 68 0.168254003  4.943395138  1.186176299 12.550039723  16.6884
 69 0.169841304  4.887849331  1.202941081 12.533274941  16.7648
 70 0.171428606  4.833332062  1.219781840 12.516434182  16.8408
 71 0.173015907  4.779815197  1.236698142 12.499517881  16.9163
 72 0.174603194  4.727272034  1.253689395 12.482526627  16.9913
 73 0.176190495  4.675674915  1.270755492 12.465460530  17.0661
 74 0.177777797  4.624999523  1.287895852 12.448320170  17.1404
 75 0.179365098  4.575220585  1.305110055 12.431105967  17.2142
 76 0.180952400  4.526315212  1.322397687 12.413818335  17.2876
 77 0.182539701  4.478260517  1.339758335 12.396457688  17.3606
 78 0.184127003  4.431034088  1.357191591 12.379024431  17.4333
 79 0.185714304  4.384614944  1.374697051 12.361518971  17.5055
 80 0.187301606  4.338982582  1.392274314 12.343941708  17.5773
 81 0.188888907  4.294116974  1.409922981 12.326293041  17.6487
 82 0.190476194  4.250000000  1.427642491 12.308573531  17.7195
 83 0.192063496  4.206611633  1.445432784 12.290783238  17.7903
 84 0.193650797  4.163934231  1.463293306 12.272922716  17.8605
 85 0.195238099  4.121951103  1.481223671 12.254992352  17.9304
 86 0.196825400  4.080645084  1.499223494 12.236992528  17.9998
 87 0.198412701  4.039999962  1.517292397 12.218923625  18.0689
 88 0.200000003  4.000000000  1.535430001 12.200786021  18.1376
 89 0.201562494  3.961240292  1.553350838 12.182865184  17.9208
 90 0.203125000  3.923077106  1.571337698 12.164878324  17.9869
 91 0.204687506  3.885496140  1.589390057 12.146825965  18.0524
 92 0.206249997  3.848484993  1.607507392 12.128708631  18.1173
 93 0.207812503  3.812029839  1.625689698 12.110526324  18.1823
 94 0.209374994  3.776119709  1.643936284 12.092279738  18.2466
 95 0.210937500  3.740740776  1.662247152 12.073968870  18.3109
 96 0.212500006  3.705882072  1.680621786 12.055594236  18.3746
 97 0.214062497  3.671533108  1.699059670 12.037156353  18.4379
 98 0.215625003  3.637681007  1.717560816 12.018655206  18.5011
 99 0.217187494  3.604316711  1.736124536 12.000091487  18.5637
100 0.218750000  3.571428776  1.754750847 11.981465175  18.6263
101 0.220312506  3.539007187  1.773439242 11.962776780  18.6884
102 0.221874997  3.507042408  1.792189209 11.944026814  18.7500
103 0.223437503  3.475524426  1.811000775 11.925215247  18.8116
104 0.224999994  3.444444656  1.829873256 11.906342767  18.8725
105 0.226562500  3.413793087  1.848806683 11.887409339  18.9334
106 0.228125006  3.383561611  1.867800553 11.868415470  18.9939
